time_stamp;elapsed_time
1618149197571;2192
1618149197705;2076
1618149197733;2049
1618149197573;2209
1618149197750;2032
1618149197709;2073
1618149197574;2209
1618149197735;2048
1618149197701;2082
1618149197721;2062
1618149197571;2213
1618149197693;2091
1618149197739;2045
1618149197877;1908
1618149198209;1576
1618149198316;1470
1618149197641;2145
1618149197572;2214
1618149197551;2235
1618149197713;2073
1618149197652;2134
1618149197718;2069
1618149197566;2238
1618149197585;2219
1618149197709;2095
1618149197567;2237
1618149197734;2070
1618149197568;2236
1618149197708;2096
1618149198316;1488
1618149198303;1501
1618149198316;1488
1618149198315;1513
1618149197691;2137
1618149197551;2293
1618149197700;2144
1618149198296;1549
1618149197697;2148
1618149197698;2147
1618149197706;2139
1618149197573;2272
1618149197696;2149
1618149198301;1544
1618149197551;2308
1618149197740;2121
1618149198303;1646
1618149197711;2238
1618149197568;2382
1618149197674;2276
1618149198292;1750
1618149198301;1768
1618149198302;1781
1618149198301;1888
1618149198319;1890
1618149198326;1925
1618149198317;1945
1618149198323;1994
1618149198328;1990
1618149197671;2648
1618149198318;2003
1618149198319;2036
1618149198317;2048
1618149198328;2051
1618149198316;2069
1618149198325;2101
1618149198323;2104
1618149198321;2106
1618149198330;2098
1618149198320;2108
1618149197653;2775
1618149198321;2110
1618149197641;2792
1618149198295;2138
1618149198329;2107
1618149197629;2809
1618149198328;2132
1618149198318;2148
1618149197538;2933
1618149197537;2941
1618149198330;2173
1618149198327;2181
1618149197653;2920
1618149198335;2265
1618149198335;2283
1618149197596;3024
1618149198328;2293
1618149198329;2302
1618149197673;2958
1618149198324;2310
1618149198319;2349
1618149197596;3093
1618149197578;3132
1618149197576;3145
1618149198325;2463
1618149198319;2469
1618149198326;2463
1618149198323;2468
1618149198089;2711
1618149197569;3231
1618149198332;2468
1618149198333;2467
1618149198322;2479
1618149198320;2481
1618149198316;2488
1618149198323;2486
1618149198322;2493
1618149197577;3245
1618149197718;3125
1618149197723;3132
1618149198334;2523
1618149197640;3228
1618149197710;3159
1618149198320;2551
1618149198322;2549
1618149198319;2553
1618149198336;2538
1618149197578;3297
1618149198332;2544
1618149198331;2548
1618149198326;2764
1618149197577;3519
1618149197571;3538
1618149197567;3546
1618149197580;3539
1618149198326;2796
1618149198329;2794
1618149198322;2803
1618149198333;2798
1618149197575;3556
1618149197592;3540
1618149198330;2803
1618149197576;3559
1618149197704;3453
1618149198077;3080
1618149197568;3589
1618149198075;3084
1618149197641;3658
1618149197579;3727
1618149197569;3745
1618149197578;3747
1618149198331;3020
1618149198329;3023
1618149197576;3777
1618149197575;3778
1618149197595;3759
1618149197595;3760
1618149197592;3764
1618149198115;3242
1618149197729;3631
1618149197588;3773
1618149197584;3778
1618149197595;3768
1618149197706;3659
1618149197569;3797
1618149198330;3036
1618149198331;3036
1618149198328;3042
1618149197595;3810
1618149198332;3077
1618149197592;3818
1618149197726;3686
1618149197594;3820
1618149197732;3684
1618149197585;3834
1618149197588;3833
1618149198332;3174
1618149197729;3841
1618149197566;4061
1618149197725;3935
1618149198331;3340
1618149197590;4092
1618149198326;3399
1618149198333;3410
1618149197572;4173
1618149197699;4046
1618149197691;4056
1618149197572;4175
1618149197588;4162
1618149198321;3432
1618149197717;4060
1618149197592;4193
1618149197570;4218
1618149198340;3449
1618149197589;4200
1618149197611;4180
1618149197579;4212
1618149197609;4183
1618149197733;4060
1618149198340;3456
1618149198338;3460
1618149197574;4225
1618149197585;4215
1618149197584;4219
1618149197611;4192
1618149197552;4271
1618149198339;3539
1618149197625;4255
1618149197597;4302
1618149197731;4168
1618149197551;4369
1618149197935;4005
