time_stamp,elapsed_time,,,,,
1618147239666,5594,,,,,
1618147239682,5594,,,,,
1618147249025,5594,,,,,
1618147307056,5594,,,,,
1618147343452,5594,,,,,
1618147360277,5594,,,,,
1618147379710,5594,,,,,
1618147380171,5594,,,,,
1618147392452,5594,,,,,
1618147394315,5594,,,,,
1618147408238,5594,,,,,
1618147408306,5594,,,,,
1618147422182,5594,,,,,
1618147437430,5594,,,,,
1618147442393,5594,,,,,
1618147455718,5594,,,,,
1618147534954,5594,,,,,
1618147547721,5594,,,,,
1618147576798,5594,,,,,
1618147592047,5594,,,,,
1618147624154,5594,,,,,
1618147636891,5594,,,,,
1618147637166,5594,,,,,
1618147639971,5594,,,,,
1618147655073,5594,,,,,
1618147660757,5594,,,,,
1618147681628,5594,,,,,
1618147101989,5595,,,,,
1618147125625,5595,,,,,
1618147131265,5595,,,,,
1618147149718,5595,,,,,
1618147154622,5595,,,,,
1618147183158,5595,,,,,
1618147198045,5595,,,,,
1618147218841,5595,,,,,
1618147222881,5595,,,,,
1618147232887,5595,,,,,
1618147261992,5595,,,,,
1618147276185,5595,,,,,
1618147276985,5595,,,,,
1618147280117,5595,,,,,
1618147282159,5595,,,,,
1618147328863,5595,,,,,
1618147330514,5595,,,,,
1618147338614,5595,,,,,
1618147343974,5595,,,,,
1618147344289,5595,,,,,
1618147349581,5595,,,,,
1618147404232,5595,,,,,
1618147437951,5595,,,,,
1618147447850,5595,,,,,
1618147481538,5595,,,,,
1618147483808,5595,,,,,
1618147489956,5595,,,,,
1618147502598,5595,,,,,
1618147558538,5595,,,,,
1618147563305,5595,,,,,
1618147575129,5595,,,,,
1618147585183,5595,,,,,
1618147663787,5595,,,,,
1618147677765,5595,,,,,
1618147681013,5595,,,,,
1618147695063,5595,,,,,
1618147129673,5596,,,,,
1618147137155,5596,,,,,
1618147162611,5596,,,,,
1618147211287,5596,,,,,
1618147212744,5596,,,,,
1618147217901,5596,,,,,
1618147225953,5596,,,,,
1618147228522,5596,,,,,
1618147276086,5596,,,,,
1618147289866,5596,,,,,
1618147323151,5596,,,,,
1618147354677,5596,,,,,
1618147357326,5596,,,,,
1618147360271,5596,,,,,
1618147383686,5596,,,,,
1618147405652,5596,,,,,
1618147434020,5596,,,,,
1618147439114,5596,,,,,
1618147459318,5596,,,,,
1618147495347,5596,,,,,
1618147495579,5596,,,,,
1618147514613,5596,,,,,
1618147515872,5596,,,,,
1618147527566,5596,,,,,
1618147556640,5596,,,,,
1618147585173,5596,,,,,
1618147613023,5596,,,,,
1618147651491,5596,,,,,
1618147658233,5596,,,,,
1618147662579,5596,,,,,
1618147663788,5596,,,,,
1618147665546,5596,,,,,
1618147687637,5596,,,,,
1618147102104,5597,,,,,
1618147152398,5597,,,,,
1618147174893,5597,,,,,
1618147183411,5597,,,,,
1618147228486,5597,,,,,
1618147253591,5597,,,,,
1618147265093,5597,,,,,
1618147276934,5597,,,,,
1618147276991,5597,,,,,
1618147280138,5597,,,,,
1618147283677,5597,,,,,
1618147301648,5597,,,,,
1618147364886,5597,,,,,
1618147374718,5597,,,,,
1618147432555,5597,,,,,
1618147441376,5597,,,,,
1618147582274,5597,,,,,
1618147586348,5597,,,,,
1618147601749,5597,,,,,
1618147634856,5597,,,,,
1618147635372,5597,,,,,
1618147637883,5597,,,,,
1618147647514,5597,,,,,
1618147655192,5597,,,,,
1618147677760,5597,,,,,
1618147083163,5598,,,,,
1618147111629,5598,,,,,
1618147162624,5598,,,,,
1618147171246,5598,,,,,
1618147177749,5598,,,,,
1618147188283,5598,,,,,
1618147231845,5598,,,,,
1618147231910,5598,,,,,
1618147232932,5598,,,,,
1618147241109,5598,,,,,
1618147260086,5598,,,,,
1618147275226,5598,,,,,
1618147293071,5598,,,,,
1618147363177,5598,,,,,
1618147372602,5598,,,,,
1618147379704,5598,,,,,
1618147387438,5598,,,,,
1618147455713,5598,,,,,
1618147502769,5598,,,,,
1618147517368,5598,,,,,
1618147539278,5598,,,,,
1618147539286,5598,,,,,
1618147554381,5598,,,,,
1618147555539,5598,,,,,
1618147556493,5598,,,,,
1618147574189,5598,,,,,
1618147624158,5598,,,,,
1618147660960,5598,,,,,
1618147679753,5598,,,,,
1618147682358,5598,,,,,
1618147710095,5598,,,,,
1618147116372,5599,,,,,
1618147131689,5599,,,,,
1618147139209,5599,,,,,
1618147152714,5599,,,,,
1618147153620,5599,,,,,
1618147175038,5599,,,,,
1618147253957,5599,,,,,
1618147254136,5599,,,,,
1618147259212,5599,,,,,
1618147296057,5599,,,,,
1618147325714,5599,,,,,
1618147345069,5599,,,,,
1618147348514,5599,,,,,
1618147351354,5599,,,,,
1618147365622,5599,,,,,
1618147367779,5599,,,,,
1618147372686,5599,,,,,
1618147379522,5599,,,,,
1618147421840,5599,,,,,
1618147453389,5599,,,,,
1618147488173,5599,,,,,
1618147506780,5599,,,,,
1618147554411,5599,,,,,
1618147555596,5599,,,,,
1618147574189,5599,,,,,
1618147617362,5599,,,,,
1618147624119,5599,,,,,
1618147632156,5599,,,,,
1618147639326,5599,,,,,
1618147653140,5599,,,,,
1618147667917,5599,,,,,
1618147671520,5599,,,,,
1618147682414,5599,,,,,
1618147690373,5599,,,,,
1618147697415,5599,,,,,
1618147138192,5600,,,,,
1618147144180,5600,,,,,
1618147175034,5600,,,,,
1618147202776,5600,,,,,
1618147243903,5600,,,,,
1618147347985,5600,,,,,
1618147351673,5600,,,,,
1618147355111,5600,,,,,
1618147358163,5600,,,,,
1618147360267,5600,,,,,
1618147365614,5600,,,,,
1618147379523,5600,,,,,
1618147429419,5600,,,,,
1618147521853,5600,,,,,
1618147545364,5600,,,,,
1618147553814,5600,,,,,
1618147554394,5600,,,,,
1618147557918,5600,,,,,
1618147574498,5600,,,,,
1618147575125,5600,,,,,
1618147576716,5600,,,,,
1618147579869,5600,,,,,
1618147601749,5600,,,,,
1618147624152,5600,,,,,
1618147632155,5600,,,,,
1618147648874,5600,,,,,
1618147665513,5600,,,,,
1618147703115,5600,,,,,
1618147703973,5600,,,,,
1618147103714,5601,,,,,
1618147112945,5601,,,,,
1618147113279,5601,,,,,
1618147129152,5601,,,,,
1618147129398,5601,,,,,
1618147142343,5601,,,,,
1618147173893,5601,,,,,
1618147175006,5601,,,,,
1618147180772,5601,,,,,
1618147204152,5601,,,,,
1618147230237,5601,,,,,
1618147230850,5601,,,,,
1618147252507,5601,,,,,
1618147273934,5601,,,,,
1618147295402,5601,,,,,
1618147296160,5601,,,,,
1618147306376,5601,,,,,
1618147312127,5601,,,,,
1618147345099,5601,,,,,
1618147348544,5601,,,,,
1618147351332,5601,,,,,
1618147361096,5601,,,,,
1618147364744,5601,,,,,
1618147384962,5601,,,,,
1618147447098,5601,,,,,
1618147494625,5601,,,,,
1618147538274,5601,,,,,
1618147543693,5601,,,,,
1618147558531,5601,,,,,
1618147558542,5601,,,,,
1618147563866,5601,,,,,
1618147579463,5601,,,,,
1618147605368,5601,,,,,
1618147640010,5601,,,,,
1618147643105,5601,,,,,
1618147654511,5601,,,,,
1618147658214,5601,,,,,
1618147659234,5601,,,,,
1618147668366,5601,,,,,
1618147119920,5602,,,,,
1618147152995,5602,,,,,
1618147153616,5602,,,,,
1618147171176,5602,,,,,
1618147174833,5602,,,,,
1618147175037,5602,,,,,
1618147183133,5602,,,,,
1618147200012,5602,,,,,
1618147211164,5602,,,,,
1618147219424,5602,,,,,
1618147226210,5602,,,,,
1618147250386,5602,,,,,
1618147323086,5602,,,,,
1618147332666,5602,,,,,
1618147347997,5602,,,,,
1618147351335,5602,,,,,
1618147379282,5602,,,,,
1618147383039,5602,,,,,
1618147406105,5602,,,,,
1618147481745,5602,,,,,
1618147491713,5602,,,,,
1618147502766,5602,,,,,
1618147521891,5602,,,,,
1618147532667,5602,,,,,
1618147552957,5602,,,,,
1618147557918,5602,,,,,
1618147559978,5602,,,,,
1618147563942,5602,,,,,
1618147571979,5602,,,,,
1618147572084,5602,,,,,
1618147579550,5602,,,,,
1618147593816,5602,,,,,
1618147663812,5602,,,,,
1618147682371,5602,,,,,
1618147689373,5602,,,,,
1618147693283,5602,,,,,
1618147095684,5603,,,,,
1618147110099,5603,,,,,
1618147116359,5603,,,,,
1618147131107,5603,,,,,
1618147148862,5603,,,,,
1618147149661,5603,,,,,
1618147174811,5603,,,,,
1618147231832,5603,,,,,
1618147262469,5603,,,,,
1618147271610,5603,,,,,
1618147273092,5603,,,,,
1618147289855,5603,,,,,
1618147301655,5603,,,,,
1618147351176,5603,,,,,
1618147352356,5603,,,,,
1618147381314,5603,,,,,
1618147383060,5603,,,,,
1618147395376,5603,,,,,
1618147433611,5603,,,,,
1618147494956,5603,,,,,
1618147522213,5603,,,,,
1618147616154,5603,,,,,
1618147624710,5603,,,,,
1618147625985,5603,,,,,
1618147646015,5603,,,,,
1618147647668,5603,,,,,
1618147659207,5603,,,,,
1618147672255,5603,,,,,
1618147101631,5604,,,,,
1618147111765,5604,,,,,
1618147116481,5604,,,,,
1618147124547,5604,,,,,
1618147146732,5604,,,,,
1618147148175,5604,,,,,
1618147168106,5604,,,,,
1618147231829,5604,,,,,
1618147238227,5604,,,,,
1618147334538,5604,,,,,
1618147343289,5604,,,,,
1618147344267,5604,,,,,
1618147372616,5604,,,,,
1618147443055,5604,,,,,
1618147448326,5604,,,,,
1618147455384,5604,,,,,
1618147458111,5604,,,,,
1618147459197,5604,,,,,
1618147459301,5604,,,,,
1618147522210,5604,,,,,
1618147528232,5604,,,,,
1618147571610,5604,,,,,
1618147575122,5604,,,,,
1618147584112,5604,,,,,
1618147606396,5604,,,,,
1618147616509,5604,,,,,
1618147624060,5604,,,,,
1618147637182,5604,,,,,
1618147638677,5604,,,,,
1618147702351,5604,,,,,
1618147702573,5604,,,,,
1618147704142,5604,,,,,
1618147099762,5605,,,,,
1618147111304,5605,,,,,
1618147176881,5605,,,,,
1618147201302,5605,,,,,
1618147209601,5605,,,,,
1618147218836,5605,,,,,
1618147220725,5605,,,,,
1618147228519,5605,,,,,
1618147230387,5605,,,,,
1618147230848,5605,,,,,
1618147231794,5605,,,,,
1618147231894,5605,,,,,
1618147238602,5605,,,,,
1618147243872,5605,,,,,
1618147261046,5605,,,,,
1618147261797,5605,,,,,
1618147267668,5605,,,,,
1618147273146,5605,,,,,
1618147276101,5605,,,,,
1618147289785,5605,,,,,
1618147293022,5605,,,,,
1618147306405,5605,,,,,
1618147331411,5605,,,,,
1618147333119,5605,,,,,
1618147354985,5605,,,,,
1618147376380,5605,,,,,
1618147392726,5605,,,,,
1618147421701,5605,,,,,
1618147444056,5605,,,,,
1618147455400,5605,,,,,
1618147543632,5605,,,,,
1618147556686,5605,,,,,
1618147576685,5605,,,,,
1618147577252,5605,,,,,
1618147591004,5605,,,,,
1618147608881,5605,,,,,
1618147629147,5605,,,,,
1618147653771,5605,,,,,
1618147662016,5605,,,,,
1618147667558,5605,,,,,
1618147679875,5605,,,,,
1618147682400,5605,,,,,
1618147691715,5605,,,,,
1618147691735,5605,,,,,
1618147693494,5605,,,,,
1618147701510,5605,,,,,
1618147137419,5606,,,,,
1618147166974,5606,,,,,
1618147177768,5606,,,,,
1618147193943,5606,,,,,
1618147203765,5606,,,,,
1618147239639,5606,,,,,
1618147267378,5606,,,,,
1618147280114,5606,,,,,
1618147283715,5606,,,,,
1618147285850,5606,,,,,
1618147314876,5606,,,,,
1618147353603,5606,,,,,
1618147389944,5606,,,,,
1618147411509,5606,,,,,
1618147499002,5606,,,,,
1618147499122,5606,,,,,
